gridx,gridy,state,agentcolor
1.125,1.625,Healthy,#blue
1.625,1.625,Healthy,#blue
2.125,1.625,Healthy,#blue
2.625,1.625,Healthy,#blue
4.125,1.625,Healthy,#blue
4.625,1.625,Healthy,#blue
5.125,1.625,Healthy,#blue
5.625,1.625,Healthy,#blue
1.125,2.125,Healthy,#blue
1.625,2.125,Healthy,#blue
2.125,2.125,Healthy,#blue
2.625,2.125,Healthy,#blue
4.125,2.125,Healthy,#blue
4.625,2.125,Healthy,#blue
5.125,2.125,Healthy,#blue
5.625,2.125,Healthy,#blue
1.125,2.625,Healthy,#blue
1.625,2.625,Healthy,#blue
2.125,2.625,Healthy,#blue
2.625,2.625,Healthy,#blue
4.125,2.625,Healthy,#blue
4.625,2.625,Healthy,#blue
5.125,2.625,Healthy,#blue
5.625,2.625,Healthy,#blue
1.125,3.125,Healthy,#blue
1.625,3.125,Healthy,#blue
2.125,3.125,Healthy,#blue
2.625,3.125,Healthy,#blue
4.125,3.125,Healthy,#blue
4.625,3.125,Healthy,#blue
5.125,3.125,Healthy,#blue
5.625,3.125,Healthy,#blue
1.125,3.625,Healthy,#blue
1.625,3.625,Healthy,#blue
2.125,3.625,Healthy,#blue
2.625,3.625,Healthy,#blue
4.125,3.625,Healthy,#blue
4.625,3.625,Healthy,#blue
5.125,3.625,Healthy,#blue
5.625,3.625,Healthy,#blue
