gridx,gridy,state,agentcolor
1.125,1.625,Healthy,#blue
1.525,1.625,Healthy,#blue
1.925,1.625,Healthy,#blue
2.325,1.625,Healthy,#blue
4.125,1.625,Healthy,#blue
4.525,1.625,Healthy,#blue
4.925,1.625,Healthy,#blue
5.325,1.625,Healthy,#blue
1.125,2.025,Healthy,#blue
1.525,2.025,Healthy,#blue
1.925,2.025,Healthy,#blue
2.325,2.025,Healthy,#blue
4.125,2.025,Healthy,#blue
4.525,2.025,Healthy,#blue
4.925,2.025,Healthy,#blue
5.325,2.025,Healthy,#blue
1.125,2.425,Healthy,#blue
1.525,2.425,Healthy,#blue
1.925,2.425,Healthy,#blue
2.325,2.425,Healthy,#blue
4.125,2.425,Healthy,#blue
4.525,2.425,Healthy,#blue
4.925,2.425,Healthy,#blue
5.325,2.425,Healthy,#blue
1.125,2.825,Healthy,#blue
1.525,2.825,Healthy,#blue
1.925,2.825,Healthy,#blue
2.325,2.825,Healthy,#blue
4.125,2.825,Healthy,#blue
4.525,2.825,Healthy,#blue
4.925,2.825,Healthy,#blue
5.325,2.825,Healthy,#blue
1.125,3.225,Healthy,#blue
1.525,3.225,Healthy,#blue
1.925,3.225,Healthy,#blue
2.325,3.225,Healthy,#blue
4.125,3.225,Healthy,#blue
4.525,3.225,Healthy,#blue
4.925,3.225,Healthy,#blue
5.325,3.225,Healthy,#blue
