gridx,gridy,state,agentcolor
1.125,1.625,Healthy,#blue
1.675,1.625,Healthy,#blue
2.225,1.625,Healthy,#blue
2.775,1.625,Healthy,#blue
4.125,1.625,Healthy,#blue
4.675,1.625,Healthy,#blue
5.225,1.625,Healthy,#blue
5.775,1.625,Healthy,#blue
1.125,2.175,Healthy,#blue
1.675,2.175,Healthy,#blue
2.225,2.175,Healthy,#blue
2.775,2.175,Healthy,#blue
4.125,2.175,Healthy,#blue
4.675,2.175,Healthy,#blue
5.225,2.175,Healthy,#blue
5.775,2.175,Healthy,#blue
1.125,2.725,Healthy,#blue
1.675,2.725,Healthy,#blue
2.225,2.725,Healthy,#blue
2.775,2.725,Healthy,#blue
4.125,2.725,Healthy,#blue
4.675,2.725,Healthy,#blue
5.225,2.725,Healthy,#blue
5.775,2.725,Healthy,#blue
1.125,3.275,Healthy,#blue
1.675,3.275,Healthy,#blue
2.225,3.275,Healthy,#blue
2.775,3.275,Healthy,#blue
4.125,3.275,Healthy,#blue
4.675,3.275,Healthy,#blue
5.225,3.275,Healthy,#blue
5.775,3.275,Healthy,#blue
1.125,3.825,Healthy,#blue
1.675,3.825,Healthy,#blue
2.225,3.825,Healthy,#blue
2.775,3.825,Healthy,#blue
4.125,3.825,Healthy,#blue
4.675,3.825,Healthy,#blue
5.225,3.825,Healthy,#blue
5.775,3.825,Healthy,#blue
